arch,noise_intens,n_freqs,n_params,acc.
fully_connected_tiny_shallow,1.00,20,83050,45.300
fully_connected_small_shallow,1.00,20,285400,89.790
fully_connected_medium_shallow,1.00,20,1140400,97.910
fully_connected_large_shallow,1.00,20,4275400,98.670
fully_connected_tiny_2hidden,1.00,20,81855,54.660
fully_connected_small_2hidden,1.00,20,289480,92.850
fully_connected_medium_2hidden,1.00,20,1216000,98.130
fully_connected_large_2hidden,1.00,20,4389400,98.660
resnet20_tiny_const,1.00,20,75020,99.130
resnet20_small_const,1.00,20,280840,99.330
resnet20_medium_const,1.00,20,1086080,99.400
resnet20_large_const,1.00,20,4270960,99.480
resnet20_tiny_incr,1.00,20,81512,99.080
resnet20_small_incr,1.00,20,297536,99.180
resnet20_medium_incr,1.00,20,1134320,99.360
resnet20_large_incr,1.00,20,4426832,99.410
resnet8_small_incr,1.00,20,103104,99.080
resnet20_small_incr,1.00,20,297536,99.240
resnet32_small_incr,1.00,20,491968,99.290
resnet44_small_incr,1.00,20,686400,99.320
resnet56_small_incr,1.00,20,880832,99.220
resnet110_small_incr,1.00,20,1755776,99.140
resnet272_small_incr,1.00,20,4380608,98.930
fully_connected_tiny_shallow,2.00,20,83050,15.580
fully_connected_small_shallow,2.00,20,285400,33.040
fully_connected_medium_shallow,2.00,20,1140400,64.750
fully_connected_large_shallow,2.00,20,4275400,82.330
fully_connected_tiny_2hidden,2.00,20,81855,13.450
fully_connected_small_2hidden,2.00,20,289480,38.250
fully_connected_medium_2hidden,2.00,20,1216000,67.790
fully_connected_large_2hidden,2.00,20,4389400,78.160
resnet20_tiny_const,2.00,20,75020,98.130
resnet20_small_const,2.00,20,280840,98.460
resnet20_medium_const,2.00,20,1086080,98.730
resnet20_large_const,2.00,20,4270960,98.940
resnet20_tiny_incr,2.00,20,81512,97.930
resnet20_small_incr,2.00,20,297536,98.270
resnet20_medium_incr,2.00,20,1134320,98.590
resnet20_large_incr,2.00,20,4426832,98.710
resnet8_small_incr,2.00,20,103104,98.020
resnet20_small_incr,2.00,20,297536,98.300
resnet32_small_incr,2.00,20,491968,98.390
resnet44_small_incr,2.00,20,686400,98.260
resnet56_small_incr,2.00,20,880832,98.250
resnet110_small_incr,2.00,20,1755776,98.260
resnet272_small_incr,2.00,20,4380608,98.300
fully_connected_tiny_shallow,4.00,20,83050,1.820
fully_connected_small_shallow,4.00,20,285400,5.330
fully_connected_medium_shallow,4.00,20,1140400,9.430
fully_connected_large_shallow,4.00,20,4275400,11.520
fully_connected_tiny_2hidden,4.00,20,81855,1.630
fully_connected_small_2hidden,4.00,20,289480,2.930
fully_connected_medium_2hidden,4.00,20,1216000,4.450
fully_connected_large_2hidden,4.00,20,4389400,3.630
resnet20_tiny_const,4.00,20,75020,81.810
resnet20_small_const,4.00,20,280840,94.670
resnet20_medium_const,4.00,20,1086080,97.530
resnet20_large_const,4.00,20,4270960,98.240
resnet20_tiny_incr,4.00,20,81512,79.190
resnet20_small_incr,4.00,20,297536,89.330
resnet20_medium_incr,4.00,20,1134320,95.950
resnet20_large_incr,4.00,20,4426832,97.520
resnet8_small_incr,4.00,20,103104,83.460
resnet20_small_incr,4.00,20,297536,86.790
resnet32_small_incr,4.00,20,491968,94.090
resnet44_small_incr,4.00,20,686400,96.430
resnet56_small_incr,4.00,20,880832,95.380
resnet110_small_incr,4.00,20,1755776,96.420
resnet272_small_incr,4.00,20,4380608,91.050
fully_connected_tiny_shallow,8.00,20,83050,0.420
fully_connected_small_shallow,8.00,20,285400,0.480
fully_connected_medium_shallow,8.00,20,1140400,0.600
fully_connected_large_shallow,8.00,20,4275400,0.810
fully_connected_tiny_2hidden,8.00,20,81855,0.390
fully_connected_small_2hidden,8.00,20,289480,0.400
fully_connected_medium_2hidden,8.00,20,1216000,0.410
fully_connected_large_2hidden,8.00,20,4389400,0.460
resnet20_tiny_const,8.00,20,75020,19.040
resnet20_small_const,8.00,20,280840,43.390
resnet20_medium_const,8.00,20,1086080,58.410
resnet20_large_const,8.00,20,4270960,77.310
resnet20_tiny_incr,8.00,20,81512,1.120
resnet20_small_incr,8.00,20,297536,43.180
resnet20_medium_incr,8.00,20,1134320,57.200
resnet20_large_incr,8.00,20,4426832,72.850
resnet8_small_incr,8.00,20,103104,25.680
resnet20_small_incr,8.00,20,297536,47.130
resnet32_small_incr,8.00,20,491968,40.260
resnet44_small_incr,8.00,20,686400,24.060
resnet56_small_incr,8.00,20,880832,37.900
resnet110_small_incr,8.00,20,1755776,2.220
resnet272_small_incr,8.00,20,4380608,2.560
